id,name,family,best_for,default_depth,reuse_policy,offline_fallback,avoid
direct-competitor-official,Direct competitor official sites,direct-competitor,"same product category; same admin workflow; same AI tool",standard,mechanism-and-boundary,yes,"copy messaging; treat marketing claim as fact"
official-demo-docs,Official demo and docs,real-product-demo,"AI tools; SaaS products; workflow products; developer tools",standard,flow-and-state-evidence,yes,"ignore version/date; copy implementation"
mobbin,Mobbin,design-gallery,"mobile flows; SaaS onboarding; app IA; interaction patterns",standard,pattern-only,yes,"copy screenshots or paid content"
awwwards,Awwwards,design-gallery,"brand surface; interaction; scroll narrative; WebGL; GSAP; high visual polish",deep,inspiration-only,yes,"bring decorative motion into Product UI"
godly,Godly,design-gallery,"landing pages; SaaS websites; modern visual references",standard,inspiration-only,yes,"treat gallery style as product fit"
lapa,Lapa Ninja,design-gallery,"landing page structure; pricing; hero; CTA; SaaS references",standard,structure-only,yes,"copy copywriting or assets"
siteinspire,Siteinspire,design-gallery,"portfolio; editorial; brand websites; layout exploration",standard,inspiration-only,yes,"copy visual identity"
dribbble,Dribbble,design-gallery,"visual mood; component inspiration; empty states",quick,inspiration-only,yes,"use as proof of usability"
behance,Behance,design-gallery,"case studies; brand systems; campaign pages",standard,inspiration-only,yes,"copy commercial assets"
zcool,ZCOOL,design-gallery,"domestic UI; commercial design; brand and product visuals",standard,inspiration-and-pattern-only,yes,"copy source works"
ui-cn,UI China,design-gallery,"Chinese UI cases; mobile; web; B-side references",standard,inspiration-and-pattern-only,yes,"treat artwork as product evidence"
mastergo-community,MasterGo Community,template-library,"B-side design systems; wireframes; UI kits; components",standard,pattern-and-resource-reference-only,yes,"copy community file without license"
pixso-community,Pixso Community,template-library,"UI kits; web UI; mobile UI; wireframes",standard,pattern-and-resource-reference-only,yes,"copy community file without license"
shadcn-blocks,shadcn/ui Blocks,template-library,"admin shell; dashboard; form; data table; app shell",standard,structure-and-component-contract-only,yes,"copy React code; skip product workflow"
ant-design,Ant Design,design-system-source,"enterprise UI; tables; forms; feedback; permission; data display",standard,principle-and-pattern-only,yes,"mix components without tech decision"
semi-design,Semi Design,design-system-source,"B-end system; tokens; accessibility; i18n; testing",standard,principle-and-pattern-only,yes,"copy implementation"
element-plus,Element Plus,design-system-source,"Vue admin feasibility; forms; tables; feedback",quick,implementation-feasibility,yes,"mix component systems silently"
linear,Linear,adjacent-product,"issue workflow; command menu; speed; status rhythm",standard,mechanism-only,yes,"copy brand style"
notion,Notion,adjacent-product,"document/canvas; blocks; collaboration; templates",standard,mechanism-only,yes,"copy interaction wholesale"
figma,Figma,adjacent-product,"canvas; panels; collaboration; versioning; comments",standard,mechanism-only,yes,"overbuild for simple CRUD"
stripe-dashboard,Stripe Dashboard,adjacent-product,"developer/admin dashboard; trust; data density; docs handoff",standard,mechanism-only,yes,"copy financial UI without domain fit"
vercel-dashboard,Vercel Dashboard,adjacent-product,"deployment dashboard; logs; project status; command flow",standard,mechanism-only,yes,"copy dark tech style blindly"
