scale_id,source,source_url,family,design_mode,scale_steps,light_dark,alpha,oklch,semantic_role,best_for,license_note
radix-gray,Radix Colors,https://www.radix-ui.com/colors,gray,Product UI,12,true,true,false,neutral,app backgrounds borders and text,open source reference; verify package license before redistribution
radix-slate,Radix Colors,https://www.radix-ui.com/colors,slate,Product UI,12,true,true,false,neutral,developer tools and data products,open source reference; verify package license before redistribution
radix-sand,Radix Colors,https://www.radix-ui.com/colors,sand,Product UI,12,true,true,false,neutral,knowledge tools docs and calm workspaces,open source reference; verify package license before redistribution
radix-sage,Radix Colors,https://www.radix-ui.com/colors,sage,Hybrid,12,true,true,false,neutral/accent,wellness education and nature surfaces,open source reference; verify package license before redistribution
radix-blue,Radix Colors,https://www.radix-ui.com/colors,blue,Product UI,12,true,true,false,primary/info,primary actions selected states and focus,open source reference; verify package license before redistribution
radix-teal,Radix Colors,https://www.radix-ui.com/colors,teal,Hybrid,12,true,true,false,accent/success,AI health and calm data accents,open source reference; verify package license before redistribution
radix-amber,Radix Colors,https://www.radix-ui.com/colors,amber,Product UI,12,true,true,false,warning/accent,warnings and warm editorial accents,open source reference; verify package license before redistribution
radix-ruby,Radix Colors,https://www.radix-ui.com/colors,ruby,Brand Surface,12,true,true,false,danger/signature,premium and campaign accent with caution,open source reference; verify package license before redistribution
tailwind-slate,Tailwind Colors,https://tailwindcss.com/docs/customizing-colors,slate,Product UI,50-950,false,false,true,neutral,implementation-ready neutral for Tailwind projects,verify Tailwind license before redistribution
tailwind-blue,Tailwind Colors,https://tailwindcss.com/docs/customizing-colors,blue,Product UI,50-950,false,false,true,primary/info,default technical primary after anti-template review,verify Tailwind license before redistribution
tailwind-cyan,Tailwind Colors,https://tailwindcss.com/docs/customizing-colors,cyan,Hybrid,50-950,false,false,true,accent/chart,AI data links and diagnostic highlights,verify Tailwind license before redistribution
tailwind-violet,Tailwind Colors,https://tailwindcss.com/docs/customizing-colors,violet,Brand Surface,50-950,false,false,true,accent,AI brand surfaces and concept pages,verify Tailwind license before redistribution
material-tonal,Material 3,https://m3.material.io/styles/color/overview,tonal palettes,Product UI,role-based,true,false,false,role colors,brand source color to role tokens,use as generation model; do not copy without checking license
carbon-gray,IBM Carbon,https://carbondesignsystem.com/elements/color/tokens/,gray themes,Product UI,token groups,true,false,false,neutral/token discipline,enterprise admin systems and serious product UI,use as token discipline reference; do not copy wholesale
carbon-support,IBM Carbon,https://carbondesignsystem.com/elements/color/tokens/,support colors,Product UI,token groups,true,false,false,status,error success warning info role discipline,use as status role reference; do not copy wholesale
