recipe_type,id,display_name,design_mode,best_for,source_ids,key_tokens,usage_rule,avoid
font_pairing,system-productive-cn,System Productive CN,Product UI,后台/审批/表格/权限,system-cn-ui|system-mono,"heading=system-ui, PingFang SC, Microsoft YaHei, sans-serif; body=system-ui, PingFang SC, Microsoft YaHei, sans-serif; numeric=tabular via font-variant-numeric; code=SFMono-Regular, Consolas, monospace",默认最稳组合；不用下载字体；标题靠字重和层级不靠 display 字体,避免为了高级感引入外部字体导致加载和许可风险
font_pairing,enterprise-puhuiti,Enterprise Puhui Product,Product UI,商业后台/电商/运营系统,alibaba-puhuiti|system-mono,"heading=Alibaba PuHuiTi, system-ui, PingFang SC, sans-serif; body=Alibaba PuHuiTi, system-ui, PingFang SC, sans-serif; numeric=tabular via font-variant-numeric; code=SFMono-Regular, Consolas, monospace",适合有商业品牌感但仍需要高密扫描的 UI；实现前确认授权和是否内置,避免把品牌字体做成大标题海报风
font_pairing,harmonyos-hybrid,HarmonyOS Hybrid,Hybrid,AI 助手/移动端/设备生态,harmonyos-sans|system-mono,"heading=HarmonyOS Sans, system-ui, PingFang SC, sans-serif; body=HarmonyOS Sans, system-ui, PingFang SC, sans-serif; numeric=tabular via font-variant-numeric; code=SFMono-Regular, Consolas, monospace",适合轻科技感和跨端界面；工作区字号仍按 Product UI scale,避免科技感标题抢走任务区
font_pairing,mi-brand-system,MiSans Brand + System Body,Brand Surface,科技品牌页/活动页/消费电子,misans|system-cn-ui|system-mono,"heading=MiSans, system-ui, PingFang SC, sans-serif; body=system-ui, PingFang SC, Microsoft YaHei, sans-serif; numeric=MiSans or tabular system; code=SFMono-Regular, Consolas, monospace",标题有品牌感，正文保持系统可读,避免全站 MiSans 超大字号导致模板科技感
font_pairing,sourcehan-reading,Source Han Reading,Brand Surface,文化/教育/长文阅读/正式内容,source-han-serif|source-han-sans|system-mono,"heading=Source Han Serif SC, Noto Serif CJK SC, serif; body=Source Han Sans SC, Noto Sans CJK SC, system-ui, sans-serif; numeric=tabular system; code=SFMono-Regular, Consolas, monospace",标题可用宋体建立气质，正文用黑体保证 UI 可读,避免宋体进入表格和表单高频操作
font_pairing,zcool-display-system,ZCOOL Display + System Body,Brand Surface,专题页/海报页/营销活动,zcool-fonts|youshe-title|system-cn-ui,"heading=ZCOOL font, YouSheBiaoTiHei, system-ui, sans-serif; body=system-ui, PingFang SC, Microsoft YaHei, sans-serif; numeric=tabular system; code=SFMono-Regular, Consolas, monospace",display 字体只用于 hero 或局部标题,避免标题字体用于正文、按钮和表单
font_pairing,ai-mono-product,AI Product Mono Assist,Product UI,AI/数据/开发者工具,system-cn-ui|system-mono,"heading=Inter, system-ui, PingFang SC, sans-serif; body=system-ui, PingFang SC, Microsoft YaHei, sans-serif; numeric=tabular system; code=SFMono-Regular, ui-monospace, Consolas, monospace",正文系统字体；trace/code/ID 用 mono；数字强对齐,避免整个 UI 都用 mono 造成可读性下降
type_scale,product-compact,Product Compact,Product UI,表格/审批/运营后台,,"font=system-ui, PingFang SC, Microsoft YaHei, sans-serif; h1=20/28/600; h2=18/26/600; section=15/22/600; body=14/22/400; small=13/20/400; caption=12/18/400; numeric=28/34/650 tabular; line_height=正文行高约 1.5；表格行内文本 20px 行高",正文行高约 1.5；表格行内文本 20px 行高,避免 24px 以上大标题和过轻灰字
type_scale,product-comfortable,Product Comfortable,Product UI,普通 SaaS/工作台,,"font=system-ui, PingFang SC, Microsoft YaHei, sans-serif; h1=24/32/650; h2=20/28/600; section=16/24/600; body=14/22/400; small=13/20/400; caption=12/18/400; numeric=32/38/650 tabular; line_height=标题和正文保持清晰层级",标题和正文保持清晰层级,避免 display 字体污染高频操作
type_scale,editorial-brand,Editorial Brand,Brand Surface,品牌页/作品集/活动页,,"font=Inter, PingFang SC, system-ui, sans-serif; h1=56/64/700; h2=40/48/680; section=24/32/620; body=16/28/400; small=14/24/400; caption=12/18/400; numeric=40/48/650; line_height=标题可有更强对比但正文仍需可读",标题可有更强对比但正文仍需可读,避免全站只有超大标题和小灰字
type_scale,warm-service,Warm Service,Hybrid,客户门户/低频入口/服务型产品,,"font=system-ui, PingFang SC, Microsoft YaHei, sans-serif; h1=32/42/650; h2=24/34/620; section=18/26/600; body=15/24/400; small=14/22/400; caption=12/18/400; numeric=32/40/650; line_height=标题更柔和但工作区回到 Product UI",标题更柔和但工作区回到 Product UI,避免温暖风格扩散到表格和表单
type_scale,data-command,Data Command,Product UI,AI/数据/开发者工具,,"font=Inter, SF Pro Text, PingFang SC, system-ui, sans-serif; h1=22/30/650; h2=18/26/620; section=15/22/600; body=13/21/400; small=12/18/400; caption=11/16/400; numeric=30/36/700 tabular; line_height=数字和代码信息优先对齐",数字和代码信息优先对齐,避免科技感大标题占用任务区
type_scale,enterprise-productive,Enterprise Productive,Product UI,政企后台/审批/审计/权限,,"font=IBM Plex Sans, system-ui, PingFang SC, Microsoft YaHei, sans-serif; h1=20/28/600; h2=18/26/600; section=15/22/600; body=14/20/400; small=13/18/400; caption=12/16/400; numeric=28/34/650 tabular; line_height=借鉴 Carbon productive type：固定层级和任务密度优先",借鉴 Carbon productive type：固定层级和任务密度优先,避免 expressive heading 污染高频办公界面
type_scale,commerce-admin,Commerce Admin,Product UI,商家后台/订单/库存/客服,,"font=Inter, system-ui, PingFang SC, Microsoft YaHei, sans-serif; h1=22/30/650; h2=18/26/600; section=15/22/600; body=14/20/400; small=13/18/400; caption=12/16/400; numeric=32/38/700 tabular; line_height=借鉴 Polaris：用字号字重位置建立层级而不是只靠颜色",借鉴 Polaris：用字号字重位置建立层级而不是只靠颜色,避免每个状态都用强色块争夺注意力
type_scale,collaboration-workflow,Collaboration Workflow,Product UI,协作/项目管理/知识库/流程看板,,"font=Atlassian Sans, system-ui, PingFang SC, Microsoft YaHei, sans-serif; h1=22/30/650; h2=18/26/600; section=15/22/600; body=14/20/400; small=13/18/400; caption=12/16/400; numeric=30/36/650 tabular; line_height=借鉴 Atlassian：文本角色必须和 space/color tokens 一起使用",借鉴 Atlassian：文本角色必须和 space/color tokens 一起使用,避免标题正文说明全靠颜色区分
type_scale,material-adaptive,Material Adaptive,Hybrid,跨端应用/轻工作台/移动优先,,"font=Roboto, system-ui, PingFang SC, Microsoft YaHei, sans-serif; h1=28/36/600; h2=22/30/600; section=16/24/600; body=16/24/400; small=14/20/400; caption=12/16/400; numeric=32/40/650 tabular; line_height=借鉴 Material type roles：表达层级要和屏幕尺寸适配",借鉴 Material type roles：表达层级要和屏幕尺寸适配,避免把大屏 display 直接带进高密表格
type_scale,fluent-enterprise,Fluent Enterprise,Product UI,桌面工具/企业控制台/Windows 风格产品,,"font=Segoe UI, system-ui, PingFang SC, Microsoft YaHei, sans-serif; h1=20/28/600; h2=18/24/600; section=14/20/600; body=14/20/400; small=12/16/400; caption=11/16/400; numeric=28/34/650 tabular; line_height=借鉴 Fluent：稳定基线和快速扫描优先",借鉴 Fluent：稳定基线和快速扫描优先,避免不同模块各自发明字号节奏
type_scale,brand-expressive,Brand Expressive,Brand Surface,官网/活动页/作品集/品牌叙事,,"font=Inter, Source Han Sans SC, PingFang SC, system-ui, sans-serif; h1=64/72/750; h2=44/52/700; section=28/36/650; body=16/28/400; small=14/24/400; caption=12/18/400; numeric=48/56/700; line_height=借鉴 Carbon expressive / Apple legibility：标题可表达但正文必须可读",借鉴 Carbon expressive / Apple legibility：标题可表达但正文必须可读,避免只有巨大标题和小灰正文
spacing_density,compact,紧凑 Product UI,Product UI,后台/审批/表格密集页,,page=24; section=16; panel=16; card_gap=12; toolbar=44; control=32; table_row=40; sidebar=240; max_width=none,后台/审批/表格密集页,避免大卡片和 32px+ 区块间距
spacing_density,comfortable,标准 Product UI,Product UI,工作台/普通 SaaS,,page=32; section=24; panel=20; card_gap=16; toolbar=52; control=36; table_row=44; sidebar=260; max_width=1440,工作台/普通 SaaS,避免首屏空白超过 40%
spacing_density,analytical,数据分析密度,Product UI,数据看板/运营分析,,page=28; section=20; panel=18; card_gap=16; toolbar=48; control=34; table_row=42; sidebar=240; max_width=1600,数据看板/运营分析,避免指标卡过大且无 drilldown
spacing_density,editorial,品牌叙事密度,Brand Surface,官网/活动页/作品集,,page=48; section=56; panel=32; card_gap=24; toolbar=auto; control=44; table_row=none; sidebar=none; max_width=1180,官网/活动页/作品集,避免把 editorial 留白带到后台工作区
spacing_density,hybrid,混合入口密度,Hybrid,AI 助手/客户门户/低频入口,,page=32; section=32; panel=24; card_gap=20; toolbar=52; control=38; table_row=44; sidebar=260; max_width=1280,AI 助手/客户门户/低频入口,展示区和工作区必须分别定义密度
spacing_density,productive-2x,生产力紧凑密度,Product UI,政企后台/审批台/权限审计,,page=24; section=16; panel=16; card_gap=12; toolbar=48; control=32; table_row=40; sidebar=240; max_width=none,政企后台/审批台/权限审计,借鉴 Carbon 2/4/8 scale：避免大留白和卡片汤
