scale_id,display_name,design_mode,best_for,font_family,heading_1,heading_2,section_title,body,body_small,caption,numeric,line_height_rule,avoid
product-compact,Product Compact,Product UI,表格/审批/运营后台,"system-ui, PingFang SC, Microsoft YaHei, sans-serif",20/28/600,18/26/600,15/22/600,14/22/400,13/20/400,12/18/400,28/34/650 tabular,正文行高约 1.5；表格行内文本 20px 行高,避免 24px 以上大标题和过轻灰字
product-comfortable,Product Comfortable,Product UI,普通 SaaS/工作台,"system-ui, PingFang SC, Microsoft YaHei, sans-serif",24/32/650,20/28/600,16/24/600,14/22/400,13/20/400,12/18/400,32/38/650 tabular,标题和正文保持清晰层级,避免 display 字体污染高频操作
editorial-brand,Editorial Brand,Brand Surface,品牌页/作品集/活动页,"Inter, PingFang SC, system-ui, sans-serif",56/64/700,40/48/680,24/32/620,16/28/400,14/24/400,12/18/400,40/48/650,标题可有更强对比但正文仍需可读,避免全站只有超大标题和小灰字
warm-service,Warm Service,Hybrid,客户门户/低频入口/服务型产品,"system-ui, PingFang SC, Microsoft YaHei, sans-serif",32/42/650,24/34/620,18/26/600,15/24/400,14/22/400,12/18/400,32/40/650,标题更柔和但工作区回到 Product UI,避免温暖风格扩散到表格和表单
data-command,Data Command,Product UI,AI/数据/开发者工具,"Inter, SF Pro Text, PingFang SC, system-ui, sans-serif",22/30/650,18/26/620,15/22/600,13/21/400,12/18/400,11/16/400,30/36/700 tabular,数字和代码信息优先对齐,避免科技感大标题占用任务区
enterprise-productive,Enterprise Productive,Product UI,政企后台/审批/审计/权限,"IBM Plex Sans, system-ui, PingFang SC, Microsoft YaHei, sans-serif",20/28/600,18/26/600,15/22/600,14/20/400,13/18/400,12/16/400,28/34/650 tabular,借鉴 Carbon productive type：固定层级和任务密度优先,避免 expressive heading 污染高频办公界面
commerce-admin,Commerce Admin,Product UI,商家后台/订单/库存/客服,"Inter, system-ui, PingFang SC, Microsoft YaHei, sans-serif",22/30/650,18/26/600,15/22/600,14/20/400,13/18/400,12/16/400,32/38/700 tabular,借鉴 Polaris：用字号字重位置建立层级而不是只靠颜色,避免每个状态都用强色块争夺注意力
collaboration-workflow,Collaboration Workflow,Product UI,协作/项目管理/知识库/流程看板,"Atlassian Sans, system-ui, PingFang SC, Microsoft YaHei, sans-serif",22/30/650,18/26/600,15/22/600,14/20/400,13/18/400,12/16/400,30/36/650 tabular,借鉴 Atlassian：文本角色必须和 space/color tokens 一起使用,避免标题正文说明全靠颜色区分
material-adaptive,Material Adaptive,Hybrid,跨端应用/轻工作台/移动优先,"Roboto, system-ui, PingFang SC, Microsoft YaHei, sans-serif",28/36/600,22/30/600,16/24/600,16/24/400,14/20/400,12/16/400,32/40/650 tabular,借鉴 Material type roles：表达层级要和屏幕尺寸适配,避免把大屏 display 直接带进高密表格
fluent-enterprise,Fluent Enterprise,Product UI,桌面工具/企业控制台/Windows 风格产品,"Segoe UI, system-ui, PingFang SC, Microsoft YaHei, sans-serif",20/28/600,18/24/600,14/20/600,14/20/400,12/16/400,11/16/400,28/34/650 tabular,借鉴 Fluent：稳定基线和快速扫描优先,避免不同模块各自发明字号节奏
brand-expressive,Brand Expressive,Brand Surface,官网/活动页/作品集/品牌叙事,"Inter, Source Han Sans SC, PingFang SC, system-ui, sans-serif",64/72/750,44/52/700,28/36/650,16/28/400,14/24/400,12/18/400,48/56/700,借鉴 Carbon expressive / Apple legibility：标题可表达但正文必须可读,避免只有巨大标题和小灰正文
