motion_id,display_name,design_mode,best_for,css_layer,motion_layer,gsap_layer,signature_rule,reduced_motion,avoid
product-crisp,克制反馈,Product UI,后台/表格/表单,"hover active focus toast drawer using --duration-fast/base/moderate","presence only when state clarity improves","N/A",反馈短促明确，不做叙事,保留颜色和 opacity，移除 travel,避免首屏飞入和弹跳
ops-progress,运营进度,Product UI,导入/审批/工单/诊断,"button toast drawer skeleton","step enter/exit and list stagger","multi-step progress timeline 220-260ms per step",用进度和阻塞状态建立信任,跳到最终状态并保留当前步骤文本,避免用 loading 动画替代真实进度
ai-command-flow,AI 调用链路,Hybrid,AI 助手/工具调用,"input focus submit feedback","message enter and tool result presence","tool-call timeline, trace reveal, streaming status",动效说明 AI 正在做什么,保留文本状态，移除位移和错峰,避免抽象光效盖过结果
brand-signature,品牌记忆点,Brand Surface,官网/活动页/作品集,"buttons nav subtle feedback","section reveal if useful","hero timeline / scroll scene / number morph",只选择一个 signature moment,跳过 timeline 到最终画面,避免每屏都有复杂动效
data-live,数据大屏编排,Brand Surface,大屏/直播间/监控墙,"status pulse with tokens","panel presence","number roll, chart reveal, alert timeline",动效表达实时性和优先级,保留数值更新，停止循环装饰,避免频繁闪烁和颜色噪音
material-standard,Material 标准动效,Hybrid,跨端应用/轻工作台/状态变化,"hover focus toast drawer using standard/decelerate/accelerate","enter/exit with small travel only when spatial relationship matters","N/A",借鉴 Material：动效绑定进入退出和状态目的,保留最终状态并移除位移,避免无来源的大幅飞入
fluent-choreography,Fluent 层级编排,Product UI,企业控制台/桌面工具/复杂流程,"quick fade for top-level and short feedback","stagger only for hierarchy reveal","workflow timeline only when sequence matters",借鉴 Fluent：top-level quick fade 局部 choreography,保留层级变化去掉 travel,避免页面级大幅滑动
collaboration-feedback,协作反馈,Product UI,项目/知识库/看板/评论/状态流,"focus active lozenge status hover","presence for comments tasks and filtered result","N/A",借鉴 Atlassian/Polaris：反馈服务扫描和协作状态,保留颜色和状态文案,避免装饰性错峰
gsap-responsive-signature,GSAP 响应式 signature,Brand Surface,品牌 hero/AI 调用链路/滚动叙事,"base feedback still CSS","presence can be Motion Vue or CSS","matchMedia timeline with cleanup and reducedMotion condition",GSAP 只承载一个 signature moment,跳过 timeline 到最终画面并调用 cleanup/revert,避免没有 matchMedia 和 reduced motion 的 timeline
ai-trace-progress,AI 证据链进度,Hybrid,AI 助手/工具调用/诊断链路,"input focus submit result status","message/tool result presence","step timeline trace reveal streaming status under 900ms per cycle",动效说明 AI 正在执行哪一步和证据来源,保留文本步骤和最终结果,避免抽象光效盖过结果
brand-expressive-motion,品牌叙事动效,Brand Surface,官网/活动页/作品集,"button nav section feedback","section reveal with opacity and slight transform","hero timeline or number morph as only signature",一个 signature moment 服务叙事和品牌记忆,直接显示最终内容并停用连续动画,避免每个 section 都滚动飞入
