id,name,type,best_for,default_modes,stack,reuse_policy,offline_fallback,avoid
shadcn-ui-blocks,shadcn/ui Blocks,block-library,"dashboard; sidebar; login; signup; data table; app shell",Product UI;Hybrid,React;Tailwind;shadcn-ui,translate-to-vue-contract,yes,"copy React code directly; skip Product UI audit"
shadcn-io-templates,shadcn.io Templates,page-template-library,"admin templates; SaaS templates; landing; portfolio; dashboard",Product UI;Hybrid;Brand Surface,React;Next.js;Tailwind;shadcn-ui,pattern-only,yes,"copy paid templates; ignore license"
shadcnblocks-components,Shadcn Blocks Components,component-library,"button; form; table; chart; drawer; sheet; empty; command; upload; pagination",Product UI;Hybrid,React;Tailwind;shadcn-ui,component-contract-only,yes,"copy React components directly into Vue"
shadcnblocks-blocks,Shadcn Blocks Blocks,block-library,"dashboard; application shell; data table; chart group; sidebar; marketing blocks; app blocks",Product UI;Hybrid;Brand Surface,React;Tailwind;shadcn-ui,pattern-only,yes,"treat block as business page; create KPI wallpaper"
shadcnblocks-pages,Shadcn Blocks Pages,page-template-library,"login; dashboard; settings; pricing; landing; application pages",Product UI;Hybrid;Brand Surface,React;Tailwind;shadcn-ui,page-pattern-only,yes,"copy template assets or copywriting"
shadcnuikit,Shadcn UI Kit,commercial-ui-kit,"admin dashboards; templates; UI kit; builder workflow",Product UI;Hybrid,React;Tailwind;shadcn-ui,public-pattern-only,yes,"copy paid assets"
shadcnspace,Shadcn Space,component-library,"shadcn templates; components; blocks",Product UI;Hybrid,React;Tailwind;shadcn-ui,pattern-only,yes,"unknown license reuse"
twentyfirst-dev,21st.dev,component-community,"UI components; blocks; AI chat; buttons; tables; marketing sections",Product UI;Hybrid;Brand Surface,React-ish;mixed,component-contract-only,yes,"copy unknown-license code"
shadcn-vue,shadcn-vue,design-system-source,"Vue primitive mapping; registry; theming; component adaptation",Product UI;Hybrid,Vue;Tailwind;shadcn-vue,implementation-reference,yes,"treat primitive as final business component"
satnaing-shadcn-admin,Satnaing Shadcn Admin,admin-template,"admin dashboard; app shell; settings; table; auth",Product UI,React;Next.js;Tailwind;shadcn-ui,admin-pattern-only,yes,"copy React app structure into Vue"
vue-vben-admin,Vue Vben Admin,admin-template,"Vue admin shell; route; permission; theme; table; forms",Product UI,Vue;Vite;TypeScript,implementation-feasibility,yes,"copy framework wholesale without project fit"
soybean-admin,Soybean Admin,admin-template,"Vue admin; theme; route; permission; page components",Product UI,Vue;Vite;TypeScript,implementation-feasibility,yes,"treat as visual style only"
vue-pure-admin,vue-pure-admin,admin-template,"Vue admin; Element Plus; Tailwind; permission; layout",Product UI,Vue;Vite;TypeScript;Element Plus,implementation-feasibility,yes,"mix component systems without tech decision"
zcool,ZCOOL,design-community,"domestic UI cases; articles; assets; design teams; courses; industry UI; visual completion",Product UI;Hybrid;Brand Surface,mixed,inspiration-and-pattern-only,yes,"write as brand mood; copy assets"
zcool-uxue,UXUE on ZCOOL / domestic UX source,ux-method-source,"UX methods; website UI; case study; UI course; IA; interaction",Product UI;Hybrid,mixed,method-and-pattern-only,yes,"pretend source details if unknown"
ui-cn,UI China,design-community,"UI works; UX articles; designers; teams; source files; domestic UI cases",Product UI;Hybrid;Brand Surface,mixed,inspiration-and-pattern-only,yes,"copy source files or commercial works"
uisdc,UISDC,ux-method-source,"design articles; AI design; UI tutorials; fonts; colors; Figma; UX methods",Product UI;Hybrid;Brand Surface,mixed,method-and-pattern-only,yes,"turn tutorial into unverified fact"
mastergo-community,MasterGo Community,design-resource-community,"B-side design; design systems; wireframes; UI resources; components; icons",Product UI;Hybrid,mixed,pattern-and-resource-reference-only,yes,"copy community resource without license"
pixso-community,Pixso Community,design-resource-community,"UI kits; design systems; interface collections; web UI; mobile UI; wireframes",Product UI;Hybrid,mixed,pattern-and-resource-reference-only,yes,"copy community file without license"
sixty-eight-design,68Design,design-community,"commercial design; web design; ecommerce; UI; brand; Chinese business cases",Product UI;Hybrid;Brand Surface,mixed,inspiration-and-pattern-only,yes,"copy commercial portfolio assets"
awwwards,Awwwards,award-gallery,"web interaction; animation; typography; brand surface; WebGL; GSAP; Framer; 3D",Brand Surface;Hybrid,mixed,inspiration-only,yes,"bring brand motion into Product UI tables"
crafted,Crafted,studio-inspiration,"custom design; brand site; interaction; portfolio; visual completion",Brand Surface;Hybrid,mixed,inspiration-only,yes,"copy studio assets or website sections"
happy-hues,Happy Hues,palette-inspiration,"landing pages; empty states; illustration mood; friendly brand color context",Brand Surface;Empty State,web,inspiration-only,yes,"copy palette values without license and contrast review"
color-hunt,Color Hunt,palette-gallery,"pastel palettes; retro palettes; nature palettes; quick color mood exploration",Brand Surface;Empty State;Hybrid,web,inspiration-only,yes,"treat gallery palette as ready UI tokens"
coolors,Coolors,palette-generator,"quick candidate generation; palette variation; contrast preview before semantic token mapping",Hybrid,web,human-generation-tool,yes,"ship generated hex values without semantic mapping"
adobe-color,Adobe Color,palette-validation,"contrast analysis; accessible palette correction; color harmony checks",Hybrid,web,validation-only,yes,"treat validation output as project license clearance"
material-theme-builder,Material Theme Builder,theme-generator,"brand color to role color systems; Material role token inspiration",Product UI;Hybrid,web,generation-model-reference,yes,"copy Material roles without adapting to SpecForge semantic tokens"
xuansite,Xuansite,award-gallery,"Japanese websites; industry filtering; color filtering; editorial and brand web references",Brand Surface;Hybrid,mixed,inspiration-only,yes,"apply brand web style to admin controls"
ant-design,Ant Design,design-system-source,"enterprise UI; tables; forms; feedback; admin patterns; design values",Product UI;Hybrid,React;Design System,principle-and-pattern-only,yes,"mix Ant components into shadcn-vue without decision"
