entry_type,id,source,source_url,family_or_chart_type,design_mode,best_for,use_as,preferred_when,avoid,license_note,scale_steps,light_dark,alpha,oklch,semantic_role
scale,radix-gray,Radix Colors,https://www.radix-ui.com/colors,gray,Product UI,app backgrounds borders and text,color scale,neutral app surfaces and borders,do not treat source as license clearance,open source reference; verify package license before redistribution,12,true,true,false,neutral
scale,radix-slate,Radix Colors,https://www.radix-ui.com/colors,slate,Product UI,developer tools and data products,color scale,technical neutral surfaces,do not treat source as license clearance,open source reference; verify package license before redistribution,12,true,true,false,neutral
scale,radix-sand,Radix Colors,https://www.radix-ui.com/colors,sand,Product UI,knowledge tools docs and calm workspaces,color scale,warm neutral workspaces,do not treat source as license clearance,open source reference; verify package license before redistribution,12,true,true,false,neutral
scale,radix-sage,Radix Colors,https://www.radix-ui.com/colors,sage,Hybrid,wellness education and nature surfaces,color scale,calm neutral accent surfaces,do not treat source as license clearance,open source reference; verify package license before redistribution,12,true,true,false,neutral/accent
scale,radix-blue,Radix Colors,https://www.radix-ui.com/colors,blue,Product UI,primary actions selected states and focus,color scale,default primary or info role,do not overuse as page wash,open source reference; verify package license before redistribution,12,true,true,false,primary/info
scale,radix-teal,Radix Colors,https://www.radix-ui.com/colors,teal,Hybrid,AI health and calm data accents,color scale,accent or success-adjacent role,do not replace success semantic color,open source reference; verify package license before redistribution,12,true,true,false,accent/success
scale,radix-amber,Radix Colors,https://www.radix-ui.com/colors,amber,Product UI,warnings and warm editorial accents,color scale,warning or warm accent,do not use as neutral text background,open source reference; verify package license before redistribution,12,true,true,false,warning/accent
scale,radix-ruby,Radix Colors,https://www.radix-ui.com/colors,ruby,Brand Surface,premium and campaign accent with caution,color scale,danger or signature accent,do not use for dense Product UI surfaces,open source reference; verify package license before redistribution,12,true,true,false,danger/signature
scale,tailwind-slate,Tailwind Colors,https://tailwindcss.com/docs/customizing-colors,slate,Product UI,implementation-ready neutral for Tailwind projects,color scale,Tailwind project needs direct CSS variables,do not treat raw scale as semantic token,verify Tailwind license before redistribution,50-950,false,false,true,neutral
scale,tailwind-blue,Tailwind Colors,https://tailwindcss.com/docs/customizing-colors,blue,Product UI,default technical primary after anti-template review,color scale,implementation primary or info,do not accept default enterprise blue without review,verify Tailwind license before redistribution,50-950,false,false,true,primary/info
scale,tailwind-cyan,Tailwind Colors,https://tailwindcss.com/docs/customizing-colors,cyan,Hybrid,AI data links and diagnostic highlights,color scale,accent or chart support,do not combine with violet and rose glow by default,verify Tailwind license before redistribution,50-950,false,false,true,accent/chart
scale,tailwind-violet,Tailwind Colors,https://tailwindcss.com/docs/customizing-colors,violet,Brand Surface,AI brand surfaces and concept pages,color scale,brand accent only,do not use as Product UI primary by habit,verify Tailwind license before redistribution,50-950,false,false,true,accent
scale,material-tonal,Material 3,https://m3.material.io/styles/color/overview,tonal palettes,Product UI,brand source color to role tokens,generation model,role-based color mapping,do not copy Material roles without adaptation,use as generation model; do not copy without checking license,role-based,true,false,false,role colors
scale,carbon-gray,IBM Carbon,https://carbondesignsystem.com/elements/color/tokens/,gray themes,Product UI,enterprise admin systems and serious product UI,token discipline,enterprise neutral discipline,do not copy Carbon tokens wholesale,use as token discipline reference; do not copy wholesale,token groups,true,false,false,neutral/token discipline
scale,carbon-support,IBM Carbon,https://carbondesignsystem.com/elements/color/tokens/,support colors,Product UI,error success warning info role discipline,status discipline,semantic state roles,do not replace local semantic status tokens,use as status role reference; do not copy wholesale,token groups,true,false,false,status
chart_palette,colorbrewer-qualitative,ColorBrewer,https://colorbrewer2.org/,qualitative,Hybrid,categorical charts maps and dashboards,chart token source,series are unordered and need distinct hues,do not use for status colors,verify ColorBrewer license and attribution before embedding exact palettes,,,,,
chart_palette,colorbrewer-sequential,ColorBrewer,https://colorbrewer2.org/,sequential,Hybrid,heatmaps choropleths and magnitude charts,chart token source,value moves low to high,do not use categorical labels with sequential scale,verify ColorBrewer license and attribution before embedding exact palettes,,,,,
chart_palette,colorbrewer-diverging,ColorBrewer,https://colorbrewer2.org/,diverging,Hybrid,positive or negative deltas and variance from baseline,chart token source,there is a meaningful midpoint,do not use without explaining midpoint semantics,verify ColorBrewer license and attribution before embedding exact palettes,,,,,
chart_palette,tailwind-chart-family,Tailwind Colors,https://tailwindcss.com/docs/customizing-colors,qualitative,Hybrid,implementation-friendly small chart sets,implementation scale,Tailwind project needs direct CSS variables,do not reuse button primary as chart_1 by default,verify Tailwind license before redistribution,,,,,
chart_palette,carbon-data-viz,IBM Carbon,https://carbondesignsystem.com/data-visualization/color-palettes/,qualitative/sequential,Product UI,enterprise dashboards and reports,reference discipline,serious Product UI needs chart-state separation,do not copy palette wholesale without license check,use as design-system reference; verify exact palette license,,,,,
