palette_id,aesthetic_id,display_name,design_mode,best_for,background,surface,surface_2,text,muted,primary,secondary,accent,border,success,warning,danger,chart_1,chart_2,chart_3,neutral_scale,primary_scale,accent_scale,semantic_scale,chart_scale,usage_ratio,contrast_notes,avoid,source,source_url,license_note
minimal,minimal,极简主义,Product UI,后台/设置/文档,#FAFAF8,#FFFFFF,#F1F1EE,#1F2328,#6B7280,#111827,#E5E7EB,#2563EB,#E5E7EB,#16A34A,#D97706,#DC2626,#2563EB,#64748B,#94A3B8,neutral 50-900,slate 50-900,blue 50-900,green/amber/red,blue/slate/gray,neutral 82 / primary 8 / accent 5 / semantic 5,正文用 text on background；primary 只做主行动和当前状态,避免大渐变和高饱和撞色,SpecForge curated + Tailwind Colors,https://tailwindcss.com/docs/customizing-colors,curated token mapping; verify source license before redistribution
notion,notion,Notion 风,Product UI,知识库/工作台/协作,#FBFBFA,#FFFFFF,#F4F4F2,#2F3437,#787774,#37352F,#E9E5DE,#A16207,#E5E2DA,#0F766E,#B7791F,#C2410C,#787774,#A16207,#0F766E,sand 50-900,amber 50-900,teal 50-900,green/amber/red,gray/amber/teal,neutral 80 / primary 10 / accent 5 / semantic 5,正文用 text on background；手绘和插画不替代控件对比,避免科技蓝和玻璃拟态,SpecForge curated + Radix Colors,https://www.radix-ui.com/colors,curated token mapping; verify source license before redistribution
japanese-ma,japanese-ma,日式留白,Hybrid,知识/政企展示/阅读,#F8F5EF,#FFFFFF,#EFE7DA,#24201C,#746B60,#8A6F4D,#D8C7AA,#B45309,#E6D8C3,#2F855A,#B7791F,#B91C1C,#8A6F4D,#BFA27A,#6B8E7A,sand 50-900,earth 50-900,ochre 50-900,green/amber/red,earth/ochre/sage,neutral 78 / primary 8 / accent 6 / semantic 5 / whitespace 3,留白不能降低正文对比；accent 只做章节和空态细节,避免卡片过密和阴影过重,SpecForge curated + Radix Colors,https://www.radix-ui.com/colors,curated token mapping; verify source license before redistribution
minimal-tech,minimal-tech,极简科技风,Product UI,AI平台/数据系统/开发者工具,#F8FAFC,#FFFFFF,#EEF4FF,#0F172A,#64748B,#2563EB,#DBEAFE,#14B8A6,#CBD5E1,#16A34A,#F59E0B,#DC2626,#2563EB,#14B8A6,#7C3AED,slate 50-900,blue 50-900,cyan 50-900,green/amber/red,blue/cyan/violet,neutral 75 / primary 15 / accent 5 / semantic 5,primary 不能铺满页面；focus ring 用 primary + outline,避免默认企业蓝模板,Tailwind Colors,https://tailwindcss.com/docs/customizing-colors,curated token mapping; verify source license before redistribution
ai-data,ai-data,AI感/数据感,Hybrid,AI助手/知识图谱/诊断链路,#F7F9FC,#FFFFFF,#EDF4FF,#111827,#5F6B7A,#3B82F6,#E0F2FE,#8B5CF6,#D6E4F0,#10B981,#F59E0B,#EF4444,#3B82F6,#8B5CF6,#06B6D4,slate 50-900,blue 50-900,violet/cyan 50-900,emerald/amber/red,blue/violet/cyan,neutral 68 / primary 14 / accent 8 / semantic 5 / glow 5,光效只能做空间关系或进度；正文回到不透明 surface,避免只用抽象光效不展示业务对象,SpecForge curated + Tailwind Colors,https://tailwindcss.com/docs/customizing-colors,curated token mapping; verify source license before redistribution
toy,toy,玩具感,Avatar-IP,AI助手形象/空态/头像,#FFF8EF,#FFFFFF,#FFEFD5,#2B2118,#7C5F46,#9A3412,#FFD166,#0D5E7A,#F2D6B3,#35A06B,#B7791F,#C2410C,#C45112,#0D5E7A,#B7791F,warm 50-900,orange 50-900,sky 50-900,green/amber/red,orange/sky/yellow,background 60 / primary 15 / accent 15 / semantic 10,IP 色不写入严肃控件；按钮文字按最终背景重新验 contrast,避免用于严肃审批和审计主页面,SpecForge curated + Color Hunt inspiration,https://colorhunt.co/,inspiration only; verify license before copying external palettes
bubble,bubble,泡泡感,Brand Surface,H5/欢迎页/轻互动,#F8FBFF,#FFFFFF,#EAF6FF,#1E293B,#64748B,#2563EB,#C084FC,#C026D3,#DCEBFA,#22C55E,#D97706,#DC2626,#2563EB,#7C3AED,#C026D3,sky 50-900,blue 50-900,purple/pink 50-900,green/amber/red,blue/purple/pink,background 55 / primary 15 / accent 20 / semantic 5 / bubble 5,圆形和透明不替代层级；正文必须落在高对比 surface,避免高密表格和长表单,SpecForge curated + Happy Hues inspiration,https://www.happyhues.co/,inspiration only; verify license before copying external palettes
watercolor,watercolor,水彩风,Brand Surface,教育/生活/治愈空态,#FFFDF8,#FFFFFF,#F6EBDD,#2C2520,#7A6E66,#A43F4D,#B7D7C8,#9A6700,#E7D8C6,#4D9A6A,#D99A2B,#C65353,#A43F4D,#4D8A72,#9A6700,warm 50-900,rose 50-900,sage/gold 50-900,green/amber/red,rose/sage/gold,background 62 / primary 10 / accent 18 / semantic 5 / texture 5,水彩只做插画或低频背景；表单和正文回到纯 surface,避免数据密集系统主体,SpecForge curated + Happy Hues inspiration,https://www.happyhues.co/,inspiration only; verify license before copying external palettes
forest,forest,森系,Brand Surface,健康/公益/教育/生活,#F6F7F1,#FFFFFF,#E7EDDF,#1F2A22,#687267,#3F6F3D,#BFD8B8,#9A6700,#D9E2D2,#3F8F5F,#C58B23,#B84A4A,#3F6F3D,#8DBA7D,#9A6700,sage 50-900,green 50-900,amber 50-900,green/amber/red,green/sage/amber,neutral 70 / primary 12 / accent 8 / semantic 5 / nature 5,绿色浅底不能承载正文；危险状态仍用 danger,避免工业硬朗和高科技场景,SpecForge curated + Color Hunt inspiration,https://colorhunt.co/palettes/nature,inspiration only; verify license before copying external palettes
luxury,luxury,轻奢风,Brand Surface,会员/高端服务/品牌页,#F8F4EF,#FFFFFF,#EEE4D8,#241F1A,#766B5F,#7A4E2D,#D6B980,#A11D33,#E0D3C2,#2F7D5B,#B7791F,#B91C1C,#7A4E2D,#D6B980,#A11D33,warm 50-900,brown 50-900,gold/ruby 50-900,green/amber/red,brown/gold/ruby,background 58 / primary 12 / accent 20 / semantic 5 / material 5,金属色只做 signature 和边界；普通控件不要金色化,避免普通后台和促销页,SpecForge curated + Adobe Color validation,https://color.adobe.com/create/color-contrast-analyzer,curated token mapping; validate contrast before redistribution
